Date,p,v,pADANIPORTS,vADANIPORTS,pASIANPAINT,vASIANPAINT,pAXISBANK,vAXISBANK,pBAJAJ-AUTO,vBAJAJ-AUTO,pBAJFINANCE,vBAJFINANCE,pBAJAJFINSV,vBAJAJFINSV,pBPCL,vBPCL,pBHARTIARTL,vBHARTIARTL,pINFRATEL,vINFRATEL,pBRITANNIA,vBRITANNIA,pCIPLA,vCIPLA,pCOALINDIA,vCOALINDIA
5/8/2009,3620.699951,0,76.18777466,2572590,48.95177841,109180,79.71660614,13939875,,,3.871356964,43033,236.7869568,46001,23.42889977,3743304,331.2333679,5398433,,,84.9825058,46130,212.2839813,1344373,,
5/11/2009,3554.600098,0,74.39002991,1552905,49.33459854,161750,81.43630981,24579045,,,3.714629412,70267,233.7441711,151049,23.18036461,4601898,322.7408142,5657047,,,85.46995544,130470,205.1420593,874953,,
5/12/2009,3681.100098,0,75.25662231,2402700,48.38024139,775800,87.82281494,29413830,,,3.828611612,44546,244.0306244,17157,23.5891304,3976230,342.2049866,7072364,,,85.51625061,26950,207.1624603,1618518,,
5/13/2009,3635.25,0,80.87112427,7058345,51.19205093,437800,88.17726135,30724895,,,3.692238092,53840,250.3088531,41317,23.6872406,6158478,343.0454407,6530461,,,85.56254578,63000,208.4780884,1217814,,
5/14/2009,3593.449951,0,85.17653656,6401610,51.27293777,241260,90.42531586,32466810,,,3.828611612,93127,239.7323914,3383,23.89327621,1601946,329.6388855,8315761,,,87.17466736,77580,216.4657745,1244335,,
5/15/2009,3671.649902,0,86.98349762,4831275,51.77167511,162130,93.55270386,21272620,,,3.800115585,48601,227.9004974,28575,24.20071602,5743380,344.8126831,9096738,,,89.09178925,174720,216.9825897,1236925,,
5/18/2009,4323.149902,0,96.49774933,61830,53.51051331,250,110.40242,344055,,,37.85870361,0,227.7559662,0,27.86025047,23700,432.4765015,134538,,,89.86518097,0,236.7168427,18261,,
5/19/2009,4318.450195,0,97.49343109,4739615,53.94724655,1147320,108.4734802,33476630,,,4.561374664,343883,239.2978973,65346,26.92820549,8703090,394.4975281,26042254,,,91.60529327,539010,213.3646698,4206943,,
5/20/2009,4270.299805,0,98.92240906,6424115,55.12264633,1057370,103.3320541,20969380,,,5.151647091,1165214,251.2752991,62903,26.46377754,5765316,370.5927124,24808182,,,94.48642731,214970,214.445343,1611019,,
5/21/2009,4210.899902,0,103.0895157,5535565,59.26351166,201390,104.4170837,21361885,,,5.194383621,501224,263.8799438,5395,29.09971046,17142504,367.4892578,8420608,,,94.58444977,45340,203.4505463,1693352,,
5/22/2009,4238.5,0,100.7293777,1823790,57.40065384,49460,108.1969299,17808785,,,5.302274227,202937,277.112854,11095,29.27304649,9995766,370.5710754,9815396,,,92.70546722,6410,209.5117798,1047957,,
5/25/2009,4237.549805,0,110.5939636,7456625,56.40317917,117150,109.7783356,10168035,,,5.226939678,134214,290.9729614,465,30.43076706,11063478,349.3396606,25828703,,,92.57474518,9700,210.2635651,1271789,,
5/26/2009,4116.700195,0,106.2517014,4614125,56.90462112,103830,105.6297531,10305420,,,4.976592541,67447,303.6257935,81531,29.14221001,8163972,332.4625854,29569666,,,92.48760223,64790,207.679306,1240539,,
5/27/2009,4276.049805,0,108.7316742,1282830,58.88339615,1947660,113.1468735,13082480,,,5.14959383,186593,318.8387146,14250,29.99251747,4640586,331.4277954,34159811,,,94.71517181,278600,208.5720978,1380404,,
5/28/2009,4337.100098,0,108.5104065,977865,57.28474808,43340,110.9200974,23055335,,,5.13534832,98190,334.8243103,1527,29.3221035,7217136,343.1102295,38351986,,,92.50395203,327130,210.2635651,1774391,,
5/29/2009,4448.950195,0,112.6959381,4723135,58.23098755,154400,110.4804153,17248740,,,5.646222115,450297,351.5827332,80614,30.3947773,36689016,353.8873901,16170960,,,93.37264252,80790,209.3708344,1208599,,
6/1/2009,4529.899902,0,120.0621033,4107615,60.77051163,221460,105.2042618,24724190,,,6.212068081,494534,369.1610718,101785,30.84934044,11236584,346.947052,18657686,,,91.65158844,70630,205.8468475,1208658,,
6/2/2009,4525.25,0,115.9780045,2127755,60.38770294,188580,102.1051941,31624890,,,6.834939003,154861,387.6585693,7634,30.80683517,7525428,345.0502319,8928296,,,90.92721558,26730,209.3708344,1670492,,
6/3/2009,4530.700195,0,110.8059921,3195210,61.31778336,101800,101.6938858,19962660,,,7.176876545,209041,407.0723267,1832,30.11024857,8280330,344.2098083,11272598,,,89.28513336,33620,218.5331573,2348217,,
6/4/2009,4572.649902,0,114.364624,1730245,60.4335289,81140,104.2256088,24609075,,,7.113776207,458016,397.124054,250244,30.1200676,6740160,351.9473877,7357934,,,88.87393188,43680,220.2716217,1915931,,
6/5/2009,4586.899902,0,115.544693,1853450,60.55754852,84260,104.743309,19200860,,,7.264403343,5956939,386.5957336,51085,30.8853302,9777042,356.4096375,9278851,,,89.50026703,75490,219.8487396,1652934,,
6/8/2009,4429.899902,0,114.7333832,2598015,60.66267776,44680,99.02744293,11250630,,,7.187057972,1761716,374.2801514,41524,30.29992485,7718190,350.8486938,6095654,,,89.25517273,31360,216.841629,1093239,,
6/9/2009,4550.950195,0,125.4184875,4192215,61.59274292,98520,102.9774704,14054955,,,6.922422886,638248,386.1612549,60409,29.3221035,14102964,350.2449341,8330882,,,116.5404129,43070,219.0969849,1047468,,
6/10/2009,4655.25,0,126.7460098,4020065,62.08071518,101030,106.7289505,17477915,,,6.729059696,129840,384.4702454,35831,29.28937721,10025916,359.7938843,15584024,,,115.4992752,21850,225.4871216,2065515,,
6/11/2009,4637.700195,0,124.4227982,1425295,63.49874496,672200,103.0554962,12514795,,,6.472595692,304926,386.3538818,32571,27.85044479,8352918,368.3296204,13844247,,,115.5605316,15080,225.5811157,1939658,,
6/12/2009,4583.399902,0,122.7264709,2582600,62.40151978,529480,99.81461334,16276170,,,6.293478489,157156,386.0638733,47094,27.25196648,5670474,357.0134277,9200376,,,112.765007,18470,235.9180756,3370917,,
6/15/2009,4484,0,116.2176895,2170780,63.0161705,56960,101.8924484,18093935,,,6.495012283,347660,386.6439514,20377,28.04666519,6242850,353.26297,5315645,,,114.3500977,14060,239.7709198,3914176,,
6/16/2009,4517.799805,0,116.8169479,1652170,59.84851837,50520,107.7430496,16782095,,,6.533685207,556721,395.9167786,9985,29.29919052,5428302,348.9735107,10444633,,,113.6980438,23540,245.0334167,1836688,,
6/17/2009,4356.149902,0,113.1661377,2675530,66.61141968,70790,102.3463287,15788970,,,6.50519371,193581,395.9649048,18398,28.53066444,3439644,346.1498108,7880136,,,115.2651215,20160,241.8852997,1315892,,
6/18/2009,4251.399902,0,113.8944397,2868540,65.19001007,53730,103.9632111,19976485,,,6.515375137,353877,384.9539795,14612,27.84715271,5612808,346.9686584,5578916,,,115.3119583,16800,241.3214722,2275192,,
6/19/2009,4313.600098,0,114.1710205,2975485,66.8986969,37520,107.2466278,13313595,,,6.32402277,89895,380.6557312,11212,27.65092468,3475602,347.981842,6508783,,,112.7974167,10720,249.4501038,1535067,,
6/22/2009,4235.25,0,113.9221039,2288380,65.30970001,22130,108.6153259,16808720,,,6.399357319,76669,381.2348022,30075,27.48088455,4442640,340.8687744,5805576,,,112.7974167,9250,245.8321991,1197637,,
6/23/2009,4247,0,110.7875519,1648215,65.04935455,75670,106.2821732,12273510,,,6.087922096,2693043,362.8345642,23679,27.6836586,3405090,339.0151367,6526307,,,112.3939514,43050,243.6708069,1149328,,
6/24/2009,4292.950195,0,112.9448776,902905,67.61686707,82180,109.0479202,10367460,,,6.328086853,141717,358.6336975,22132,28.0237484,2008152,344.144989,5782003,,,113.0603943,10490,249.0742493,1266971,,
6/25/2009,4241.850098,0,112.7328415,993425,67.45228577,99130,110.4236832,15752820,,,6.366759777,59871,370.4173889,40049,27.15710449,9079110,342.2266235,10177600,,,111.7310715,10460,241.5094452,3066838,,
6/26/2009,4375.5,0,113.3873901,941885,69.10409546,180210,116.0260696,15000375,,,6.407484531,32668,384.8566284,15720,27.5593605,2609982,349.2316895,5877176,,,112.3470917,15310,245.7852173,1844693,,
6/29/2009,4390.950195,0,117.0474167,1683825,70.17539215,105300,123.0467682,32608910,,,7.322378159,44546,402.3876953,11805,27.91256523,3230634,348.0035095,2732162,,,116.003624,72240,246.9598083,1098444,,
6/30/2009,4291.100098,0,111.3868256,1212140,71.08807373,251610,118.0400848,25420550,,,7.172515392,20359,382.2975769,6718,28.13166618,4071540,345.8043213,5513303,,,114.9444962,57550,238.0794373,615453,,
7/1/2009,4340.899902,0,112.0690308,1550140,70.90254211,72420,123.3091736,21537575,,,7.411362171,166759,363.2209167,15777,29.77993774,5906874,355.331665,6256898,,,113.1288681,43540,230.2327118,2629804,,
7/2/2009,4348.850098,0,108.6487045,1166940,70.92048645,66410,121.0824051,14245515,,,7.270850182,38988,360.3808899,19424,29.72106171,9095244,346.2145691,6456560,,,113.9357834,18300,233.1459045,1634637,,
7/3/2009,4424.25,0,108.0217972,2108950,71.4232254,239870,123.8693924,13096050,,,7.198256016,25947,364.4975586,16382,30.0808239,4914276,353.09021,2903665,,,114.0438843,32530,245.0334167,1667915,,
7/6/2009,4165.700195,0,99.54009247,1783135,71.43818665,127550,112.67173,15059295,,,6.854038715,18506,346.7739258,43940,29.11277962,5578128,337.5276794,6174521,,,113.9610062,45600,242.073288,1827762,,
